image_id,n_gt,n_pred,n_tp,n_fp,n_fn
172526,2,2,2,0,0
81749,3,3,3,0,0
27721,1,1,1,0,0
42748,2,2,2,0,0
165277,2,2,2,0,0
109505,1,1,1,0,0
116827,1,1,1,0,0
02969,3,3,3,0,0
67219,1,1,1,0,0
54239,2,2,2,0,0
169389,1,1,1,0,0
168785,4,4,4,0,0
51676,2,2,2,0,0
09043,1,1,1,0,0
154019,1,1,1,0,0
95396,2,2,2,0,0
170829,1,1,1,0,0
29872,1,2,1,1,0
87017,3,3,3,0,0
122404,2,3,2,1,0
153963,2,2,2,0,0
78107,1,1,1,0,0
75982,2,3,2,1,0
170942,1,1,1,0,0
129011,2,1,1,0,1
64443,3,4,3,1,0
120809,2,2,2,0,0
17247,4,4,4,0,0
90628,3,3,3,0,0
19964,1,1,1,0,0
63427,1,1,1,0,0
150503,2,2,2,0,0
189267,1,1,1,0,0
48950,1,1,1,0,0
163577,2,2,2,0,0
80940,1,1,1,0,0
117104,2,2,2,0,0
126362,4,3,3,0,1
04512,1,1,1,0,0
79211,1,2,1,1,0
76467,2,2,2,0,0
88743,2,2,2,0,0
159737,1,1,1,0,0
182422,2,1,1,0,1
160030,2,2,2,0,0
145431,2,2,2,0,0
56154,1,1,1,0,0
134374,2,1,1,0,1
05948,2,2,2,0,0
39578,1,1,1,0,0
117051,2,2,2,0,0
90645,1,0,0,0,1
58488,2,2,2,0,0
91194,1,1,1,0,0
58626,1,1,1,0,0
99284,1,1,1,0,0
172377,3,3,3,0,0
129284,1,1,1,0,0
04477,1,1,1,0,0
184140,1,1,1,0,0
191537,2,3,2,1,0
158936,1,1,1,0,0
35966,1,2,1,1,0
186707,2,2,2,0,0
65807,3,2,2,0,1
180579,1,1,1,0,0
60619,1,1,1,0,0
32257,2,2,2,0,0
21461,2,2,2,0,0
190228,1,1,1,0,0
16915,1,2,1,1,0
38374,2,2,2,0,0
157905,2,2,2,0,0
58915,3,3,3,0,0
15121,2,3,2,1,0
44685,1,1,1,0,0
176624,1,1,1,0,0
164862,2,2,2,0,0
73038,1,1,1,0,0
63829,2,2,2,0,0
16753,2,2,2,0,0
52053,1,1,1,0,0
135546,1,1,1,0,0
